setCount,objectCount,sensitivity,useClustering,useType,useId,runtime,confidence
100,4,0.5,0,0,1,8.92,0.99
100,4,0.5,0,1,1,0.01,0.99
100,4,1,0,0,0,28.95,0.99
100,4,1,0,1,0,0.01,0.99
100,4,1,0,0,1,8.91,0.99
100,4,1,0,1,1,0,0.99
100,3,0.015625,0,0,0,0.99,0.99
100,3,0.015625,0,1,0,0,0.99
100,3,0.015625,0,0,1,0.99,0.99
100,3,0.015625,0,1,1,0,0.99
100,3,0.03125,0,0,0,0.99,0.99
100,3,0.03125,0,1,0,0,0.99
100,3,0.03125,0,0,1,0.99,0.99
100,3,0.03125,0,1,1,0,0.99
100,3,0.0625,0,0,0,0.99,0.99
100,3,0.0625,0,1,0,0,0.99
100,3,0.0625,0,0,1,0.99,0.99
100,3,0.0625,0,1,1,0,0.99
100,3,0.125,0,0,0,0.99,0.99
100,3,0.125,0,1,0,0,0.99
100,3,0.125,0,0,1,0.99,0.99
100,3,0.125,0,1,1,0,0.99
100,3,0.25,0,0,0,0.99,0.99
100,3,0.25,0,1,0,0,0.99
100,3,0.25,0,0,1,0.99,0.99
100,3,0.25,0,1,1,0,0.99
100,3,0.5,0,0,0,0.99,0.99
100,3,0.5,0,1,0,0,0.99
100,3,0.5,0,0,1,0.99,0.99
100,3,0.5,0,1,1,0,0.99
100,3,1,0,0,0,0.99,0.99
100,3,1,0,1,0,0,0.99
100,3,1,0,0,1,0.99,0.99
100,3,1,0,1,1,0,0.99
100,2,0.015625,0,0,0,0,0.99
100,2,0.015625,0,1,0,0,0.99
100,2,0.015625,0,0,1,0,0.99
100,2,0.015625,0,1,1,0,0.99
100,2,0.03125,0,0,0,0,0.99
100,2,0.03125,0,1,0,0,0.99
100,2,0.03125,0,0,1,0,0.99
100,2,0.03125,0,1,1,0,0.99
100,2,0.0625,0,0,0,0,0.99
100,2,0.0625,0,1,0,0,0.99
100,2,0.0625,0,0,1,0,0.99
100,2,0.0625,0,1,1,0,0.99
100,2,0.125,0,0,0,0,0.99
100,2,0.125,0,1,0,0,0.99
100,2,0.125,0,0,1,0,0.99
100,2,0.125,0,1,1,0,0.99
100,2,0.25,0,0,0,0,0.99
100,2,0.25,0,1,0,0,0.99
100,2,0.25,0,0,1,0,0.99
100,2,0.25,0,1,1,0,0.99
100,2,0.5,0,0,0,4.24,0.99
100,2,0.5,0,1,0,0,0.99
100,2,0.5,0,0,1,0,0.99
100,2,0.5,0,1,1,0,0.99
100,2,1,0,0,0,4.17,0.99
100,2,1,0,1,0,0,0.99
100,2,1,0,0,1,0,0.99
100,2,1,0,1,1,0,0.99
100,1,0.015625,0,0,0,0,0.99
100,1,0.015625,0,1,0,0,0.99
100,1,0.015625,0,0,1,0,0.99
100,1,0.015625,0,1,1,0,0.99
100,1,0.03125,0,0,0,0,0.99
100,1,0.03125,0,1,0,0,0.99
100,1,0.03125,0,0,1,0,0.99
100,1,0.03125,0,1,1,0,0.99
100,1,0.0625,0,0,0,0,0.99
100,1,0.0625,0,1,0,0,0.99
100,1,0.0625,0,0,1,0,0.99
100,1,0.0625,0,1,1,0,0.99
100,1,0.125,0,0,0,0,0.99
100,1,0.125,0,1,0,0,0.99
100,1,0.125,0,0,1,0,0.99
100,1,0.125,0,1,1,0,0.99
100,1,0.25,0,0,0,0,0.99
100,1,0.25,0,1,0,0,0.99
100,1,0.25,0,0,1,0,0.99
100,1,0.25,0,1,1,0,0.99
100,1,0.5,0,0,0,0,0.99
100,1,0.5,0,1,0,0,0.99
100,1,0.5,0,0,1,0,0.99
100,1,0.5,0,1,1,0,0.99
100,1,1,0,0,0,0,0.99
100,1,1,0,1,0,0,0.99
100,1,1,0,0,1,0,0.99
100,1,1,0,1,1,0,0.99
100,6,0.015625,1,0,0,45.23,0.99
100,6,0.015625,1,1,0,3.92,0.99
100,6,0.015625,1,0,1,26.44,0.99
100,6,0.015625,1,1,1,3.92,0.99
100,6,0.03125,1,0,0,38.5,0.99
100,6,0.03125,1,1,0,3.05,0.99
100,6,0.03125,1,0,1,23.17,0.99
100,6,0.03125,1,1,1,3.03,0.99
100,6,0.0625,1,0,0,76.1,0.99
100,6,0.0625,1,1,0,3.01,0.99
100,6,0.0625,1,0,1,20.46,0.99
100,6,0.0625,1,1,1,3.03,0.99
100,6,0.125,1,0,0,149.19,0.99
100,6,0.125,1,1,0,3.03,0.99
100,6,0.125,1,0,1,67.21,0.99
100,6,0.125,1,1,1,3.2,0.99
100,6,0.25,1,0,0,236.79,0.99
100,6,0.25,1,1,0,3.02,0.99
100,6,0.25,1,0,1,81.37,0.99
100,6,0.25,1,1,1,3.02,0.99
100,6,0.5,1,0,0,289.37,0.66
100,6,0.5,1,1,0,2.99,0.99
100,6,0.5,1,0,1,121.24,0.495
100,6,0.5,1,1,1,2.97,0.99
100,6,1,1,0,0,315.54,0.66
100,6,1,1,1,0,3.04,0.99
100,6,1,1,0,1,141.34,0.495
100,6,1,1,1,1,2.97,0.99
100,5,0.015625,1,0,0,31.92,0.99
100,5,0.015625,1,1,0,3.43,0.99
100,5,0.015625,1,0,1,13.78,0.99
100,5,0.015625,1,1,1,3.42,0.99
100,5,0.03125,1,0,0,27.54,0.99
100,5,0.03125,1,1,0,2.9,0.99
100,5,0.03125,1,0,1,11.41,0.99
100,5,0.03125,1,1,1,2.9,0.99
100,5,0.0625,1,0,0,81.44,0.99
100,5,0.0625,1,1,0,2.9,0.99
100,5,0.0625,1,0,1,11.27,0.99
100,5,0.0625,1,1,1,2.9,0.99
100,5,0.125,1,0,0,81.02,0.99
100,5,0.125,1,1,0,2.9,0.99
100,5,0.125,1,0,1,10.98,0.99
100,5,0.125,1,1,1,2.91,0.99
100,5,0.25,1,0,0,228.51,0.99
100,5,0.25,1,1,0,2.01,0.99
100,5,0.25,1,0,1,91.91,0.99
100,5,0.25,1,1,1,1.99,0.99
100,5,0.5,1,0,0,150.33,0.792
100,5,0.5,1,1,0,2.03,0.99
100,5,0.5,1,0,1,83.28,0.99
100,5,0.5,1,1,1,2.14,0.99
100,5,1,1,0,0,178.25,0.792
100,5,1,1,1,0,2.06,0.99
100,5,1,1,0,1,83.73,0.99
100,5,1,1,1,1,2.02,0.99
100,4,0.015625,1,0,0,19.9,0.99
100,4,0.015625,1,1,0,2.9,0.99
100,4,0.015625,1,0,1,7.01,0.99
100,4,0.015625,1,1,1,2.9,0.99
100,4,0.03125,1,0,0,17.81,0.99
100,4,0.03125,1,1,0,1.99,0.99
100,4,0.03125,1,0,1,5.87,0.99
100,4,0.03125,1,1,1,1.98,0.99
100,4,0.0625,1,0,0,74.02,0.99
100,4,0.0625,1,1,0,1.98,0.99
100,4,0.0625,1,0,1,5.87,0.99
100,4,0.0625,1,1,1,1.98,0.99
100,4,0.125,1,0,0,72.27,0.99
100,4,0.125,1,1,0,1.98,0.99
100,4,0.125,1,0,1,5.87,0.99
100,4,0.125,1,1,1,1.98,0.99
100,4,0.25,1,0,0,138.67,0.99
100,4,0.25,1,1,0,1.98,0.99
100,4,0.25,1,0,1,35.64,0.99
100,4,0.25,1,1,1,1.98,0.99
100,4,0.5,1,0,0,103.29,0.765
100,4,0.5,1,1,0,1.98,0.99
100,4,0.5,1,0,1,42.57,0.99
100,4,0.5,1,1,1,1.98,0.99
100,4,1,1,0,0,110.13,0.765
100,4,1,1,1,0,1.98,0.99
100,4,1,1,0,1,42.57,0.99
100,4,1,1,1,1,1.98,0.99
100,3,0.015625,1,0,0,3.08,0.99
100,3,0.015625,1,1,0,0.99,0.99
100,3,0.015625,1,0,1,1.98,0.99
100,3,0.015625,1,1,1,0.99,0.99
100,3,0.03125,1,0,0,2.97,0.99
